customer_id,first_name,last_name,email,signup_date,age,loyalty_tier,is_student,home_city,home_region
1,Holly,Rogers,qjenkins@yahoo.com,2025-01-01,56,Silver,0,Hicksshire,Wyoming
2,Monique,Williams,sarahzhang@richmond-mcdonald.com,2022-02-28,25,Silver,0,Walkerfurt,Massachusetts
3,Douglas,Stuart,bdavis@ward-hodges.com,2022-02-17,36,Bronze,0,North Donna,Connecticut
4,Ashley,Rivers,jasonthompson@hotmail.com,2022-10-28,70,Silver,0,Batesside,Arizona
5,Angela,Carter,amywalker@yahoo.com,2024-06-24,39,Bronze,0,East Brandy,North Carolina
6,Sandra,Golden,darnold@singleton.com,2021-11-02,47,Bronze,0,Bryanton,Hawaii
7,Jennifer,Moss,ubrown@valenzuela-barr.com,2022-06-10,38,Silver,0,Port Christine,South Dakota
8,Heather,Barber,nancy01@yahoo.com,2025-03-16,61,Bronze,0,Luisfort,Alaska
9,Amanda,Sparks,eric78@mckinney.com,2022-03-25,59,Bronze,1,New Elizabethland,Tennessee
10,Lindsey,Golden,melissaadams@yahoo.com,2024-08-15,32,Bronze,0,North Kimberlyborough,Texas
11,Michelle,Everett,linda10@ross.com,2024-10-07,68,Bronze,1,Lake Jacquelineberg,North Dakota
12,Blake,Perez,thall@yahoo.com,2022-10-25,74,Bronze,0,Lake Charles,Nevada
13,Nicholas,Gomez,matthewhiggins@gordon.com,2024-07-26,38,Bronze,0,New Edwinfurt,Maryland
14,Ryan,Costa,qcherry@yahoo.com,2025-10-25,42,Platinum,0,East Richard,New York
15,James,Carlson,vcampbell@hotmail.com,2022-10-11,26,Bronze,0,Adamsside,Delaware
16,Laurie,Rasmussen,murrayjennifer@hotmail.com,2025-04-08,45,Bronze,0,Jonesshire,Vermont
17,Ashley,Small,oschultz@hotmail.com,2025-09-13,25,Bronze,1,Roachshire,Delaware
18,Anthony,Nixon,simmonsrobert@yahoo.com,2023-09-06,53,Bronze,0,Keithtown,Delaware
19,Nicholas,Gates,thomaswilliam@gmail.com,2024-08-23,23,Bronze,0,Greenville,Hawaii
20,Ivan,Hester,thomas45@mendoza-savage.com,2022-11-04,46,Platinum,0,Bradyfort,Montana
21,Ashley,Rodriguez,lmarshall@briggs.com,2022-07-29,51,Bronze,1,Fernandezside,Mississippi
22,Frederick,Knight,zmontoya@young.org,2023-06-01,48,Gold,0,Marymouth,New Jersey
23,Tanya,Anderson,woodsjames@hotmail.com,2023-06-18,40,Silver,1,Atkinsonhaven,Illinois
24,Jenna,Horne,dunnchristopher@gmail.com,2023-01-23,38,Bronze,0,East Zacharystad,Kansas
25,Diana,Hamilton,jacquelineschmidt@hanna-williams.com,2025-02-04,70,Silver,1,Lake Lisa,Delaware
26,Kathleen,Hampton,mward@hotmail.com,2023-08-08,62,Bronze,0,West Thomas,Vermont
27,Kristie,Bright,josephatkins@hotmail.com,2025-01-25,18,Bronze,0,Port Kathleenport,Montana
28,Michael,Miller,jonathan85@wood-thompson.com,2022-07-18,18,Bronze,0,South Jeffrey,Florida
29,Bailey,White,michelle94@thomas.com,2023-08-02,28,Bronze,0,East Charlesmouth,Oregon
30,John,Church,tallen@jackson.info,2023-02-01,52,Silver,0,West Amyfort,West Virginia
31,Tyler,Glover,cheryl82@yahoo.com,2022-08-01,56,Silver,1,West Anntown,New Jersey
32,Darlene,Chen,tlawson@taylor-baker.com,2025-01-15,26,Silver,0,Christopherborough,Arizona
33,Brandon,Lindsey,johnsoncolleen@gmail.com,2021-12-28,65,Bronze,0,East Tanya,Louisiana
34,Bryan,Harris,gailpacheco@cole.net,2024-03-01,54,Silver,0,Newmanport,Oregon
35,Mark,Oneal,ucox@gmail.com,2025-01-02,44,Silver,0,East Miguelville,Iowa
36,Carol,Randolph,josephwilson@turner-stevens.com,2024-09-26,64,Silver,0,West Rachelton,Texas
37,Erin,Newman,david14@hotmail.com,2023-04-28,43,Bronze,0,East Shannon,New Hampshire
38,Peggy,Baldwin,david71@chan.com,2024-03-21,44,Silver,0,Douglasview,Pennsylvania
39,Jessica,Preston,rreese@yahoo.com,2023-07-23,59,Bronze,0,Port Ashleyfort,Connecticut
40,Bonnie,Walton,josephlewis@hotmail.com,2022-07-09,49,Silver,0,Port Patrick,North Carolina
41,Marc,King,cynthia28@gmail.com,2023-01-10,49,Silver,0,Michaeltown,Indiana
42,Donald,Ayers,rogerhowell@gomez.com,2022-08-15,56,Bronze,0,Rodneybury,Florida
43,Ashley,Schmidt,rsanchez@gmail.com,2025-06-02,53,Gold,0,Amandaburgh,Maryland
44,Carl,Davis,leahclements@martin.biz,2022-03-08,68,Bronze,1,Andrewside,Louisiana
45,Joshua,Herrera,kenneth98@gmail.com,2024-07-06,62,Bronze,0,North Wesley,Tennessee
46,Melissa,Young,jcarrillo@gmail.com,2023-09-17,45,Gold,0,Hunterside,Connecticut
47,Lori,Lewis,ronaldpowers@yahoo.com,2024-01-09,47,Gold,0,Markfort,Indiana
48,Susan,Hayes,ydean@mccoy.com,2022-07-24,72,Gold,0,Bassside,Virginia
49,Erin,Rich,john49@boyd.org,2023-01-10,50,Bronze,0,North Brooke,Iowa
50,Tyler,Rodriguez,kaiserstephen@white.com,2024-08-17,74,Gold,1,South Jessicastad,Arizona
51,Terry,Hernandez,veronica40@walker-rivers.com,2024-07-17,56,Bronze,0,Kellyshire,Nebraska
52,Amanda,Copeland,wilsonderrick@myers-young.com,2025-07-26,54,Silver,0,West Lacey,Louisiana
53,Jeffrey,Murphy,mary50@hotmail.com,2023-08-13,41,Gold,0,Martinezton,Louisiana
54,Martha,Bush,victoria94@yahoo.com,2025-04-08,49,Silver,0,Campbellberg,New Jersey
55,David,Martinez,fleminglarry@benjamin-gray.com,2022-02-10,66,Bronze,0,Marksville,Mississippi
56,Cynthia,Yoder,joshua83@oneill.com,2024-05-19,56,Bronze,0,Chungfurt,New Jersey
57,Andrew,Kim,dfuentes@yahoo.com,2024-11-14,66,Platinum,0,Port Mariahaven,Colorado
58,Kristen,York,vmccann@parker.com,2023-11-11,19,Silver,0,East Heidiland,Florida
59,Michael,Baker,usmith@keith.com,2025-02-24,54,Bronze,0,New Michael,New Jersey
60,Hannah,Short,cesar26@nichols.biz,2021-11-03,19,Silver,0,Reyesbury,Michigan
61,Robert,Rivera,johnbass@yahoo.com,2025-09-26,23,Bronze,0,Markburgh,North Dakota
62,Jerry,Coffey,wmartin@ross.com,2024-04-22,28,Bronze,0,Tiffanyhaven,Connecticut
63,Richard,Morales,christopherarnold@gmail.com,2025-03-10,55,Bronze,0,Port Adam,New Hampshire
64,Paul,Benitez,owhite@hotmail.com,2022-12-10,23,Bronze,0,Choiborough,North Dakota
65,Adriana,Woods,katherineroy@mccullough.com,2022-08-09,33,Gold,0,Stephaniehaven,Kentucky
66,Stacey,Anderson,tracy29@bray.com,2025-05-17,23,Silver,1,Bergerside,Tennessee
67,Keith,Cummings,bobbybrown@gmail.com,2024-02-05,53,Bronze,0,Parkerside,New Jersey
68,Shannon,Valdez,vlewis@davidson.biz,2024-07-11,36,Bronze,0,Wangland,Virginia
69,Daniel,Rios,samuel96@hotmail.com,2025-10-13,58,Silver,0,Copelandton,Idaho
70,Kyle,Calderon,serranokathleen@gmail.com,2024-03-28,35,Gold,0,Matthewstad,Oklahoma
71,Karen,Holmes,itaylor@gmail.com,2025-04-13,74,Bronze,1,East Joshua,North Carolina
72,Kenneth,Hughes,wandamartinez@johnson.net,2024-05-01,47,Silver,0,Dennisbury,Kentucky
73,Christian,Taylor,aaronpatterson@ingram.net,2025-01-11,33,Gold,0,West Thomasstad,Indiana
74,Brandon,Obrien,gnguyen@sutton-flores.info,2023-03-15,66,Bronze,0,Gonzalezberg,West Virginia
75,Gina,Yates,jeffreykidd@hays-morris.com,2025-09-12,29,Silver,1,Willieport,Missouri
76,John,Henry,eramirez@yahoo.com,2024-01-02,72,Bronze,0,Edwintown,Alabama
77,Erin,Dunn,davisnancy@smith-hansen.com,2022-01-17,65,Gold,1,Lake Markhaven,Utah
78,Michael,Peterson,tvasquez@webb.com,2022-08-15,71,Silver,0,Stephensbury,Maine
79,Natalie,Fowler,rhondacarter@gmail.com,2025-02-28,28,Gold,0,Port Jesusfort,Arkansas
80,Loretta,Caldwell,pabbott@gmail.com,2024-01-12,57,Silver,0,Port Lindseyborough,Connecticut
81,Carmen,Mueller,icollins@smith.info,2024-12-04,42,Silver,0,Lake William,California
82,Teresa,Solomon,keith17@gmail.com,2025-09-22,63,Silver,0,New Annachester,New Jersey
83,Mary,Chavez,james23@hopkins-clark.biz,2025-02-09,33,Platinum,0,Ericborough,North Dakota
84,Elizabeth,Avila,nyoung@lee.com,2025-03-24,21,Bronze,0,Wilsonside,Montana
85,Dustin,Hamilton,harrisjennifer@cook-gill.com,2023-07-03,37,Bronze,0,Port Brianfurt,Montana
86,Jessica,Benson,duanehooper@hinton-hall.info,2022-10-16,20,Silver,0,South Scottton,North Dakota
87,Corey,Stewart,karapierce@sparks-morgan.com,2024-09-17,29,Silver,0,South Brian,North Carolina
88,Danielle,Williams,chelseaparks@walker-williams.net,2024-05-11,39,Bronze,1,West Frankfort,Louisiana
89,Phillip,Gilmore,emily54@gmail.com,2025-09-30,62,Bronze,1,Matthewbury,Massachusetts
90,Donna,Johnson,ufigueroa@yahoo.com,2022-12-06,44,Silver,0,Alfredville,Delaware
91,Daniel,Johnson,paultran@brown.com,2021-12-23,45,Silver,1,Robertshire,Indiana
92,Vanessa,Bonilla,mark82@gmail.com,2025-04-29,65,Bronze,0,Tammybury,Tennessee
93,Gabrielle,Long,austincheryl@hotmail.com,2022-03-31,66,Bronze,1,West Alexis,Ohio
94,Angela,Tran,josephgill@yahoo.com,2024-05-23,47,Platinum,1,Torresfort,Utah
95,Karen,Francis,shannon58@harris.com,2022-03-06,52,Silver,1,Lake Brianfurt,North Carolina
96,Joshua,Hernandez,vmurphy@beck.info,2024-09-03,46,Bronze,1,Christyshire,Kansas
97,Jack,Lewis,george83@jones.biz,2023-05-13,52,Platinum,0,Carrilloside,Louisiana
98,Michael,Reed,jeffreyowen@heath.info,2023-09-23,38,Bronze,0,Maryland,Maryland
99,Brenda,Martin,richedward@jones-thompson.biz,2024-09-02,20,Bronze,0,South Daveshire,Wyoming
100,James,Nguyen,josephmontgomery@gordon.com,2022-12-24,48,Gold,1,Kimhaven,New Mexico
101,Michael,Wilcox,christine78@jones.com,2025-09-26,63,Bronze,0,Lake Alexandraburgh,Minnesota
102,Mary,Schroeder,travis67@cook.info,2024-05-22,39,Bronze,0,Port Codyport,West Virginia
103,James,Roberts,patrickfleming@roberts.com,2023-10-09,59,Gold,0,West Tylermouth,Tennessee
104,Christian,James,mcmillangina@perry.com,2025-02-04,50,Bronze,0,Angelaburgh,Alaska
105,Kimberly,Reed,meyeranthony@griffin.net,2025-01-12,56,Bronze,0,Port Rhonda,New Hampshire
106,Susan,Owen,martineztiffany@adams-johnson.com,2023-08-25,52,Bronze,0,Combschester,Tennessee
107,Shawn,Mays,lacey49@hotmail.com,2024-09-23,24,Silver,0,Kingside,Indiana
